UID        PID  PPID  C STIME TTY          TIME CMD
dbus       790     1  0 16:10 ?        00:00:04 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       792     1  0 16:10 ?        00:00:00 /usr/lib/systemd/systemd-logind
root       810     1  0 16:10 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      2965     1  0 16:11 ?        00:00:00 /usr/libexec/postfix/master -w
postfix   3057  2965  0 16:11 ?        00:00:00 qmgr -l -t unix -u
root      7261     1  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7277  7261  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7278  7261  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7279  7261  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7280  7261  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7281  7261  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7290  7279  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
root      7294     1  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-nc.conf -DFOREGROUND
eucalyp+  7297  7279  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7301  7279  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  7339     1  0 18:56 ?        00:00:00 /usr/sbin/eucanetd
eucalyp+  7375  7294  1 18:56 ?        00:00:19 /usr/sbin/httpd -f //run/eucalyptus/httpd-nc.conf -DFOREGROUND
eucalyp+  7440  7375  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-nc.conf -DFOREGROUND
eucalyp+  7441  7375  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-nc.conf -DFOREGROUND
eucalyp+  7442  7375  0 18:56 ?        00:00:01 /usr/sbin/httpd -f //run/eucalyptus/httpd-nc.conf -DFOREGROUND
root      7786     1  0 18:27 ?        00:00:03 /usr/sbin/libvirtd
eucalyp+  8029  7280  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  8030  7280  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  8162  7261  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  8163  8162  0 18:56 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
root      9027     2  0 18:57 ?        00:00:00 [loop0]
root      9142     2  0 18:57 ?        00:00:00 [loop1]
root      9145     2  0 18:57 ?        00:00:00 [kdmflush]
root      9146     2  0 18:57 ?        00:00:00 [bioset]
root      9153     2  0 18:57 ?        00:00:00 [kdmflush]
root      9154     2  0 18:57 ?        00:00:00 [kcopyd]
root      9155     2  0 18:57 ?        00:00:00 [bioset]
root      9156     2  0 18:57 ?        00:00:00 [bioset]
root      9163     2  0 18:57 ?        00:00:00 [kdmflush]
root      9164     2  0 18:57 ?        00:00:00 [bioset]
root      9172     2  0 18:57 ?        00:00:01 [loop2]
root      9175     2  0 18:57 ?        00:00:00 [kdmflush]
root      9178     2  0 18:57 ?        00:00:00 [bioset]
root      9185     2  0 18:57 ?        00:00:00 [kdmflush]
root      9186     2  0 18:57 ?        00:00:00 [bioset]
root      9194     2  0 18:57 ?        00:00:00 [kdmflush]
root      9195     2  0 18:57 ?        00:00:00 [kcopyd]
root      9196     2  0 18:57 ?        00:00:00 [bioset]
root      9197     2  0 18:57 ?        00:00:00 [bioset]
root      9204     2  0 18:57 ?        00:00:00 [kdmflush]
root      9205     2  0 18:57 ?        00:00:00 [bioset]
root      9213     2  0 18:57 ?        00:00:00 [kworker/1:1]
root      9214     2  0 18:57 ?        00:00:00 [kworker/0:0]
root      9215     2  0 18:57 ?        00:00:00 [kworker/2:0]
root      9216     2  0 18:57 ?        00:00:00 [kworker/5:2]
root      9223     2  0 18:57 ?        00:00:00 [kworker/6:2]
root      9256     2  0 18:57 ?        00:00:00 [loop3]
eucalyp+  9308  7375  0 18:57 ?        00:00:00 [blkid] <defunct>
eucalyp+  9337  7375  0 18:57 ?        00:00:00 [blkid] <defunct>
eucalyp+  9363  7375  0 18:57 ?        00:00:00 [blkid] <defunct>
root      9468     1  0 18:57 ?        00:00:00 /usr/sbin/dhcpd -f -cf /var/run/eucalyptus/net/euca-dhcp.conf br0
eucalyp+  9548  7261  0 18:58 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
eucalyp+  9560  7261  0 18:59 ?        00:00:00 /usr/sbin/httpd -f //run/eucalyptus/httpd-cc.conf -DFOREGROUND
root      9588     2  0 18:37 ?        00:00:05 [kworker/u64:0]
root      9633     2  0 19:00 ?        00:00:01 [loop4]
root      9636     2  0 19:00 ?        00:00:00 [kdmflush]
root      9637     2  0 19:00 ?        00:00:00 [bioset]
root      9644     2  0 19:00 ?        00:00:00 [kdmflush]
root      9645     2  0 19:00 ?        00:00:00 [kcopyd]
root      9646     2  0 19:00 ?        00:00:00 [bioset]
root      9647     2  0 19:00 ?        00:00:00 [bioset]
root      9654     2  0 19:00 ?        00:00:00 [kdmflush]
root      9655     2  0 19:00 ?        00:00:00 [bioset]
root      9663     2  0 19:00 ?        00:00:00 [loop5]
root      9666     2  0 19:00 ?        00:00:00 [kdmflush]
root      9667     2  0 19:00 ?        00:00:00 [bioset]
root      9674     2  0 19:00 ?        00:00:00 [kdmflush]
root      9675     2  0 19:00 ?        00:00:00 [kcopyd]
root      9676     2  0 19:00 ?        00:00:00 [bioset]
root      9677     2  0 19:00 ?        00:00:00 [bioset]
root      9684     2  0 19:00 ?        00:00:00 [kdmflush]
root      9685     2  0 19:00 ?        00:00:00 [bioset]
root      9902     1  0 19:02 ?        00:00:00 /usr/sbin/virtlogd
qemu      9911     1  0 19:02 ?        00:00:02 /usr/libexec/qemu-kvm -name guest=i-f3929950,debug-threads=on -S -object secret,id=masterKey0,format=raw,file=/var/lib/libvirt/qemu/domain-1-i-f3929950/master-key.aes -machine pc-i440fx-rhel7.3.0,accel=kvm,usb=off -m 256 -realtime mlock=off -smp 1,sockets=1,cores=1,threads=1 -uuid 21648e5e-7e7f-4821-a623-a292b7ec8f9e -nographic -no-user-config -nodefaults -chardev socket,id=charmonitor,path=/var/lib/libvirt/qemu/domain-1-i-f3929950/monitor.sock,server,nowait -mon chardev=charmonitor,id=monitor,mode=control -rtc base=localtime -no-shutdown -boot strict=on -device piix3-usb-uhci,id=usb,bus=pci.0,addr=0x1.0x2 -drive file=/var/lib/eucalyptus/instances/work/AIDAAB7EW7P63SKMYXE2V/i-f3929950/link-to-vda,format=raw,if=none,id=drive-virtio-disk0,serial=euca-bdm-machine-dev-vda,cache=none -device virtio-blk-pci,scsi=off,bus=pci.0,addr=0x3,drive=drive-virtio-disk0,id=virtio-disk0,bootindex=1 -drive file=/var/lib/eucalyptus/instances/work/AIDAAB7EW7P63SKMYXE2V/i-f3929950/link-to-vdb,format=raw,if=none,id=drive-virtio-disk1,serial=euca-bdm-ephemeral0-dev-vdb,cache=none -device virtio-blk-pci,scsi=off,bus=pci.0,addr=0x4,drive=drive-virtio-disk1,id=virtio-disk1 -netdev tap,fd=26,id=hostnet0,vhost=on,vhostfd=28 -device virtio-net-pci,netdev=hostnet0,id=net0,mac=d0:0d:f3:92:99:50,bus=pci.0,addr=0x2 -add-fd set=2,fd=30 -chardev file,id=charserial0,path=/dev/fdset/2,append=on -device isa-serial,chardev=charserial0,id=serial0 -device virtio-balloon-pci,id=balloon0,bus=pci.0,addr=0x5 -msg timestamp=on
root      9912     1  0 19:02 ?        00:00:00 /usr/lib/systemd/systemd-machined
root      9914     2  0 19:02 ?        00:00:00 [vhost-9911]
root      9917     2  0 19:02 ?        00:00:00 [kvm-pit/9911]
qemu      9932     1  3 19:02 ?        00:00:48 /usr/libexec/qemu-kvm -name guest=i-bcac32e7,debug-threads=on -S -object secret,id=masterKey0,format=raw,file=/var/lib/libvirt/qemu/domain-2-i-bcac32e7/master-key.aes -machine pc-i440fx-rhel7.3.0,accel=kvm,usb=off -m 256 -realtime mlock=off -smp 1,sockets=1,cores=1,threads=1 -uuid 324795d6-4827-4d1c-a5bc-e8a252fcfd03 -nographic -no-user-config -nodefaults -chardev socket,id=charmonitor,path=/var/lib/libvirt/qemu/domain-2-i-bcac32e7/monitor.sock,server,nowait -mon chardev=charmonitor,id=monitor,mode=control -rtc base=localtime -no-shutdown -boot strict=on -device piix3-usb-uhci,id=usb,bus=pci.0,addr=0x1.0x2 -drive file=/var/lib/eucalyptus/instances/work/AIDAALWJCFSX4ZCIP7HPF/i-bcac32e7/link-to-vda,format=raw,if=none,id=drive-virtio-disk0,serial=euca-bdm-machine-dev-vda,cache=none -device virtio-blk-pci,scsi=off,bus=pci.0,addr=0x3,drive=drive-virtio-disk0,id=virtio-disk0,bootindex=1 -drive file=/var/lib/eucalyptus/instances/work/AIDAALWJCFSX4ZCIP7HPF/i-bcac32e7/link-to-vdb,format=raw,if=none,id=drive-virtio-disk1,serial=euca-bdm-ephemeral0-dev-vdb,cache=none -device virtio-blk-pci,scsi=off,bus=pci.0,addr=0x4,drive=drive-virtio-disk1,id=virtio-disk1 -drive file=/var/lib/eucalyptus/instances/work/AIDAALWJCFSX4ZCIP7HPF/i-bcac32e7/floppy,format=raw,if=none,id=drive-fdc0-0-0,cache=none -global isa-fdc.driveA=drive-fdc0-0-0 -netdev tap,fd=27,id=hostnet0,vhost=on,vhostfd=29 -device virtio-net-pci,netdev=hostnet0,id=net0,mac=d0:0d:bc:ac:32:e7,bus=pci.0,addr=0x2 -add-fd set=2,fd=31 -chardev file,id=charserial0,path=/dev/fdset/2,append=on -device isa-serial,chardev=charserial0,id=serial0 -device virtio-balloon-pci,id=balloon0,bus=pci.0,addr=0x5 -msg timestamp=on
root      9934     2  0 19:02 ?        00:00:00 [vhost-9932]
root      9937     2  0 19:02 ?        00:00:00 [kvm-pit/9932]
root      9959     2  0 19:02 ?        00:00:00 [kworker/1:2]
root      9960     2  0 19:02 ?        00:00:00 [kworker/5:1]
root      9963     2  0 19:02 ?        00:00:00 [kworker/7:0]
root      9986     2  0 19:02 ?        00:00:00 [kworker/6:1]
root      9987     2  0 19:02 ?        00:00:00 [kworker/2:2]
